age,income,home_ownership,employment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,max_allowed_loan
21.0,12000.0,OWN,0.0,EDUCATION,15000,6.99,0.12,N,4,69307.59174030228
21.0,13200.0,OWN,2.0,EDUCATION,25000,16.77,0.19,Y,3,69307.59174030228
23.0,9600.0,RENT,5.0,MEDICAL,30000,12.42,0.31,N,3,69307.59174030228
40.0,182004.0,RENT,3.0,EDUCATION,35000,8.0,0.19,N,11,35000.0
40.0,90000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,35000,12.42,0.39,N,14,35000.0
40.0,131004.0,MORTGAGE,9.0,VENTURE,30000,7.9,0.23,N,13,30000.0
40.0,150000.0,MORTGAGE,9.0,DEBTCONSOLIDATION,25000,11.89,0.17,N,11,25000.0
40.0,132000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,25000,16.82,0.22,N,17,25000.0
40.0,80000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,25000,10.25,0.31,N,11,25000.0
40.0,80000.0,MORTGAGE,9.0,VENTURE,25000,18.67,0.3,N,17,25000.0
40.0,60000.0,OWN,5.0,VENTURE,25000,11.97,0.42,Y,12,25000.0
40.0,85000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,25000,12.18,0.29,N,16,25000.0
40.0,69996.0,OWN,19.0,EDUCATION,25000,18.25,0.36,N,14,25000.0
40.0,186996.0,RENT,18.0,DEBTCONSOLIDATION,25000,6.99,0.12,N,17,25000.0
40.0,120000.0,MORTGAGE,9.0,PERSONAL,25000,10.75,0.21,N,12,25000.0
40.0,179000.0,MORTGAGE,7.0,VENTURE,25000,10.99,0.14,N,17,25000.0
40.0,140000.0,MORTGAGE,2.0,MEDICAL,24500,11.83,0.17,N,14,24500.0
40.0,210000.0,RENT,1.0,MEDICAL,24000,10.65,0.11,N,15,24000.0
40.0,150000.0,MORTGAGE,2.0,PERSONAL,24000,11.83,0.16,N,13,24000.0
40.0,170000.0,MORTGAGE,1.0,HOMEIMPROVEMENT,21000,14.72,0.12,N,12,21000.0
40.0,125000.0,MORTGAGE,1.0,PERSONAL,21000,6.99,0.17,N,16,21000.0
40.0,120000.0,OWN,4.0,DEBTCONSOLIDATION,20000,15.95,0.17,N,15,20000.0
40.0,60000.0,MORTGAGE,13.0,HOMEIMPROVEMENT,20000,14.54,0.33,N,14,20000.0
40.0,80000.0,OWN,10.0,PERSONAL,20000,18.62,0.25,N,14,20000.0
40.0,72000.0,RENT,3.0,HOMEIMPROVEMENT,20000,13.47,0.28,N,16,20000.0
40.0,78000.0,MORTGAGE,3.0,EDUCATION,20000,11.83,0.26,N,15,20000.0
40.0,200000.0,MORTGAGE,3.0,VENTURE,20000,11.86,0.1,N,14,20000.0
40.0,190000.0,OWN,0.0,EDUCATION,20000,6.03,0.1,N,14,20000.0
40.0,130000.0,RENT,3.0,HOMEIMPROVEMENT,20000,14.09,0.15,N,13,20000.0
40.0,109720.0,MORTGAGE,19.0,PERSONAL,20000,10.75,0.18,N,14,20000.0
40.0,80000.0,MORTGAGE,5.0,MEDICAL,20000,13.23,0.25,N,12,20000.0
40.0,98000.0,MORTGAGE,22.0,HOMEIMPROVEMENT,20000,9.88,0.2,N,16,20000.0
40.0,96000.0,MORTGAGE,18.0,HOMEIMPROVEMENT,18000,15.27,0.19,N,12,18000.0
40.0,100000.0,MORTGAGE,6.0,EDUCATION,18000,6.99,0.18,N,14,18000.0
